Hospital Name,Base DRG Group,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent
Emory University Hospital Midtown (FKA Emory Crawford Long Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$8,741","$16,574",,,Emory Healthcare,Emory Healthcare
Ascension Alexian Brothers (FKA AMITA Health Alexian Brothers Medical Center Elk Grove Village),"BRONCHITIS & ASTHMA  (202, 203)","$5,834","$16,555",,,Ascension Health Illinois,Ascension Health
South Shore Hospital,"OTHER DIGESTIVE SYSTEM DIAGNOSES  (393, 394, 395)","$11,113","$16,548",,,,
Community Hospital,"ENDOCRINE DISORDERS  (643, 644, 645)","$7,878","$16,521",,,Powers Health (FKA Community Healthcare System),
OSF Saint Paul Medical Center (FKA Mendota Community Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$7,480","$16,465",,,OSF HealthCare,
Northwestern Medicine Valley West Hospital (FKA Valley West Community Hospital),"DENTAL & ORAL DISEASES  (157, 158, 159)","$5,262","$16,464",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Community First Medical Center (FKA Our Lady of the Resurrection Medical Center),"NONSPECIFIC CEREBROVASCULAR DISORDERS  (070, 071, 072)","$5,148","$16,396",,,,
John H Stroger Jr Hospital of Cook County,ANGINA PECTORIS  (311),"$55,784","$16,382",,,Cook County Health & Hospitals System,
Advocate Sherman Hospital,"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS  (308, 309, 310)",$0,"$16,361",,,Advocate Health Care,Advocate Health
Silver Cross Hospital,"TENDONITIS, MYOSITIS & BURSITIS  (557, 558)","$7,275","$16,326",,,,
Evanston Hospital (AKA NorthShore Evanston Hospital),"BRONCHITIS & ASTHMA  (202, 203)","$6,593","$16,322",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Parkview Regional Medical Center,"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS  (308, 309, 310)",$0,"$16,284",,,Parkview Health,
Humboldt Park Health (FKA Norwegian American Hospital),"SIGNS & SYMPTOMS  (947, 948)","$7,882","$16,274",,,,
Banner Ocotillo Medical Center,"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$6,158","$16,272",,,Banner Health,Banner Health
Pinnacle Hospital,"CELLULITIS  (602, 603)","$4,338","$16,265",,,,
Aurora St Lukes Medical Center of Aurora Health Care Metro,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$4,168","$16,212",,,Aurora Health Care,Advocate Health
Jefferson Abington Hospital (FKA Abington Memorial Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$14,522","$16,198",,,Jefferson Health - Abington (FKA Abington Health),Jefferson Health
Froedtert Pleasant Prairie Hospital (FKA St Catherines Medical Center),"COMPLICATIONS OF TREATMENT  (919, 920, 921)","$6,403","$16,188",,,Froedtert South,Froedtert ThedaCare Health Inc
Banner - University Medical Center Tucson (FKA University of Arizona Medical Center),"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$8,195","$16,176",,,Banner Health,Banner Health
Taylorville Memorial Hospital,"OTHER DISORDERS OF NERVOUS SYSTEM  (091, 092, 093)","$8,878","$16,135",,,Memorial Health (FKA Memorial Health System),
Swedish Hospital (FKA Swedish Covenant Hospital),"PULMONARY EMBOLISM  (175, 176)",$0,"$16,120",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Larkin Community Hospital South Miami Campus,PSYCHOSES  (885),$0,"$16,113",,,Larkin Health System,
Aurora Lakeland Medical Center,"HEART FAILURE & SHOCK  (291, 292, 293)","$8,775","$16,088",,,Aurora Health Care,Advocate Health
St Mary Medical Center,"PLEURAL EFFUSION  (186, 187, 188)","$9,475","$16,082",,,Powers Health (FKA Community Healthcare System),
Swedish Hospital (FKA Swedish Covenant Hospital),"POISONING & TOXIC EFFECTS OF DRUGS  (917, 918)","$8,178","$16,014",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Weiss Memorial Hospital (Closed),"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS  (391, 392)","$6,827","$15,996",,,Resilience Healthcare,
Swedish Hospital (FKA Swedish Covenant Hospital),"MAJOR CHEST TRAUMA  (183, 184, 185)","$6,392","$15,985",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Lee Memorial Hospital,"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS  (308, 309, 310)","$3,557","$15,945",,,Lee Health (AKA Lee Memorial Health System),Lee Health (AKA Lee Memorial Health System)
St Bernards Medical Center,PSYCHOSES  (885),"$9,802","$15,893",,,St Bernards Healthcare,St Bernards Healthcare
Mercyhealth FHN Hospital (FKA FHN Memorial Hospital),"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$6,708","$15,889",,,Mercyhealth (FKA Mercy Health System),
Advocate Trinity Hospital,"SIGNS & SYMPTOMS  (947, 948)","$5,009","$15,886",,,Advocate Health Care,Advocate Health
Ascension St Alexius (FKA AMITA Health St Alexius Medical Center Hoffman Estates),"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$6,482","$15,848",,,Ascension Health Illinois,Ascension Health
Methodist Hospitals - Northlake,"OTHER CIRCULATORY SYSTEM DIAGNOSES  (314, 315, 316)","$5,965","$15,830",,,Methodist Hospitals,
Evanston Hospital (AKA NorthShore Evanston Hospital),"ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY  (896, 897)","$14,325","$15,813",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),"VAGINAL DELIVERY W/O STERILIZATION/D&C (805, 806, 807)","$14,168","$15,810",,,Sinai Chicago (FKA Sinai Health System),
Northwestern Memorial Hospital,INBORN AND OTHER DISORDERS OF METABOLISM  (642),"$11,397","$15,788",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
University of Illinois Hospital,"PULMONARY EMBOLISM  (175, 176)","$19,444","$15,767",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
South Shore Hospital,"INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM  (727, 728)","$5,132","$15,741",,,,
Beacon Kalamazoo (FKA Ascension Borgess Hospital),"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$12,314","$15,709",,,Beacon Health System,
Advocate Christ Medical Center,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH  (562, 563)","$5,064","$15,704",,,Advocate Health Care,Advocate Health
Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$15,659","$15,703",,,Corewell Health South (FKA Spectrum Health Lakeland),Corewell Health (FKA BHSH System)
OSF Saint Anthony Medical Center,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION  (064, 065, 066)","$6,322","$15,696",,,OSF HealthCare,
UF Health Spanish Plaines Hospital (FKA UF Health the Villages Hospital),"G.I. HEMORRHAGE  (377, 378, 379)","$2,521","$15,679",,,University of Florida Health (FKA Shands Healthcare),University of Florida Health (FKA Shands Healthcare)
Swedish Hospital (FKA Swedish Covenant Hospital),"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA  (441, 442, 443)",$0,"$15,662",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Evanston Hospital (AKA NorthShore Evanston Hospital),ORGANIC DISTURBANCES & MENTAL RETARDATION  (884),"$6,163","$15,612",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Medicine Palos Hospital (AKA Palos Health),"LYMPHOMA & NON-ACUTE LEUKEMIA  (840, 841, 842)","$10,592","$15,600",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Thorek Memorial Hospital,ANGINA PECTORIS  (311),"$5,369","$15,591",,,Thorek Memorial Hospital Health System,
Elmhurst Hospital,"OTHER DISORDERS OF NERVOUS SYSTEM  (091, 092, 093)","$6,093","$15,520",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
SSM Health Saint Louis University Hospital,"CELLULITIS  (602, 603)","$11,473","$15,504",,,SSM Health St Louis,SSM Health
UnityPoint Health Finley Hospital (FKA UnityPoint Health Dubuque - Finley Hospital),"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$5,408","$15,502",,,UnityPoint Health (FKA Iowa Health System),UnityPoint Health (FKA Iowa Health System)
Ascension All Saints Hospital - Spring Street Campus (FKA Ascension Wheaton Franciscan Healthcare - All Saints),"PULMONARY EMBOLISM  (175, 176)","$5,498","$15,455",,,Ascension Wisconsin (FKA Ascension Wheaton Franciscan Healthcare),Ascension Health
Presbyterian Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$9,269","$15,417",,,Presbyterian Healthcare Services,
Banner Del E Webb Medical Center,"RENAL FAILURE  (682, 683, 684)","$5,156","$15,414",,,Banner Health,Banner Health
Humboldt Park Health (FKA Norwegian American Hospital),"HEPATOBILIARY DIAGNOSTIC PROCEDURES  (420, 421, 422)","$12,929","$15,413",,,,
Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),"HEADACHES  (102, 103)","$15,230","$15,403",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Fort Lauderdale Behavioral Health Center (AKA Fort Lauderdale Hospital),PSYCHOSES  (885),"$6,500","$15,400",,,Universal Health Services,Universal Health Services
Ascension Alexian Brothers (FKA AMITA Health Alexian Brothers Medical Center Elk Grove Village),"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$7,907","$15,392",,,Ascension Health Illinois,Ascension Health
Marshfield Medical Center - Minocqua,"G.I. HEMORRHAGE  (377, 378, 379)","$4,356","$15,376",,,Marshfield Clinic Health System (AKA Marshfield Clinic Region of Sanford Health),Sanford Health
Graham Hospital Association (AKA Graham Health System),"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$5,993","$15,375",,,,
Linden Oaks Hospital (FKA Linden Oaks Behavioral Health),DEPRESSIVE NEUROSES  (881),"$4,293","$15,285",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Aurora Medical Center - Burlington (FKA Aurora Memorial Hospital of Burlington),"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS  (308, 309, 310)","$4,031","$15,273",,,Aurora Health Care,Advocate Health
Humboldt Park Health (FKA Norwegian American Hospital),"BRONCHITIS & ASTHMA  (202, 203)","$9,164","$15,253",,,,
Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),"CRANIAL & PERIPHERAL NERVE DISORDERS  (073, 074)","$8,375","$15,207",,,Corewell Health South (FKA Spectrum Health Lakeland),Corewell Health (FKA BHSH System)
UChicago Medicine Ingalls Memorial Hospital,"KIDNEY & URINARY TRACT SIGNS & SYMPTOMS  (695, 696)","$4,693","$15,204",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
John H Stroger Jr Hospital of Cook County,"SIGNS & SYMPTOMS  (947, 948)","$44,358","$15,197",,,Cook County Health & Hospitals System,
Northwest Community Hospital (AKA Northwest Community Healthcare),FEVER  (864),"$4,914","$15,158",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Swedish Hospital (FKA Swedish Covenant Hospital),"NERVOUS SYSTEM NEOPLASMS  (054, 055)","$7,025","$15,156",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),"SEIZURES  (100, 101)","$5,812","$15,152",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS  (308, 309, 310)",$0,"$15,122",,,Ascension Health Illinois,Ascension Health
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"MINOR SKIN DISORDERS  (606, 607)","$9,445","$15,108",,,Prime Healthcare Services,Prime Healthcare Services
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),"TRAUMATIC INJURY  (913, 914)","$11,661","$15,081",,,OSF HealthCare,
Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)",$0,"$15,063",,,Corewell Health East (FKA Beaumont Health System),Corewell Health (FKA BHSH System)
Essentia Health - St Marys Medical Center,"OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC  (515, 516, 517)","$9,657","$15,020",,,Essentia Health,
OSF St Joseph Medical Center,"SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE  (555, 556)","$4,381","$14,928",,,OSF HealthCare,
NuHealth - Nassau University Medical Center,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$16,818","$14,918",,,,
Northwest Community Hospital (AKA Northwest Community Healthcare),"BONE DISEASES & ARTHROPATHIES  (553, 554)","$4,488","$14,907",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Medicine Lake Forest Hospital,"OTHER RESPIRATORY SYSTEM DIAGNOSES  (205, 206)",$0,"$14,834",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Trinity Hospital,"PERIPHERAL VASCULAR DISORDERS  (299, 300, 301)","$6,671","$14,789",,,Advocate Health Care,Advocate Health
Northwestern Medicine Lake Forest Hospital,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (559, 560, 561)",$0,"$14,760",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Sarah Bush Lincoln Health Center,"SEIZURES  (100, 101)","$4,922","$14,753",,,Sarah Bush Lincoln Health System,
Northwestern Medicine Valley West Hospital (FKA Valley West Community Hospital),"SIGNS & SYMPTOMS  (947, 948)","$7,379","$14,725",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
The Loretto Hospital,DEPRESSIVE NEUROSES  (881),"$9,255","$14,679",,,,
UPMC Chautauqua,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$14,658","$14,624",,,University of Pittsburgh Medical Center (AKA UPMC),University of Pittsburgh Medical Center (AKA UPMC)
Northwestern Medicine Valley West Hospital (FKA Valley West Community Hospital),"CONCUSSION  (088, 089, 090)","$13,158","$14,602",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
OSF Saint Elizabeth Medical Center (FKA Ottawa Regional Hosp & Hc Center),"MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL  (808, 809, 810)","$16,560","$14,575",,,OSF HealthCare,
UW Health SwedishAmerican Hospital (FKA SwedishAmerican Hospital),"DENTAL & ORAL DISEASES  (157, 158, 159)",$0,"$14,575",,,University of Wisconsin Health (AKA UW Health),
Cox Medical Center South,PSYCHOSES  (885),"$9,715","$14,574",,,CoxHealth,CoxHealth
Northwestern Medicine Lake Forest Hospital,"ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY  (896, 897)","$5,904","$14,566",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Sherman Hospital,"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)",$0,"$14,535",,,Advocate Health Care,Advocate Health
St Bernard Hospital,"COMPLICATIONS OF TREATMENT  (919, 920, 921)","$16,864","$14,509",,,,
Northwest Community Hospital (AKA Northwest Community Healthcare),"SEIZURES  (100, 101)","$5,102","$14,492",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Medicine Palos Hospital (AKA Palos Health),"ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY  (896, 897)",$533,"$14,482",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA  (894)",$0,"$14,446",,,Sinai Chicago (FKA Sinai Health System),
South Shore Hospital,"SIGNS & SYMPTOMS  (947, 948)","$7,105","$14,415",,,,
Mayo Clinic Hospital - Saint Marys Campus,"BONE DISEASES & ARTHROPATHIES  (553, 554)",$0,"$14,396",,,Mayo Clinic,Mayo Clinic
SIH Herrin Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$6,041","$14,379",,,Southern Illinois Healthcare,
Jackson Park Hospital & Medical Center,"ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY  (896, 897)","$15,826","$14,348",,,,
Bronson Methodist Hospital,"NONSPECIFIC CEREBROVASCULAR DISORDERS  (070, 071, 072)","$6,909","$14,338",,,Bronson Healthcare,
Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),DEPRESSIVE NEUROSES  (881),"$3,145","$14,326",,,Franciscan Alliance Inc (AKA Franciscan Health),
Blessing Hospital,"SEPTIC ARTHRITIS  (548, 549, 550)","$7,390","$14,320",,,Blessing Health System,
Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),"ENDOCRINE DISORDERS  (643, 644, 645)","$6,153","$14,307",,,Franciscan Alliance Inc (AKA Franciscan Health),
Cape Cod Hospital,"POISONING & TOXIC EFFECTS OF DRUGS  (917, 918)","$7,244","$14,272",,,Cape Cod Healthcare,
Regions Hospital,"INFLAMMATORY BOWEL DISEASE  (385, 386, 387)","$4,855","$14,261",,,HealthPartners,HealthPartners
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES  (584, 585)","$17,813","$14,250",,,Prime Healthcare Services,Prime Healthcare Services
Advocate Good Shepherd Hospital,"OTHER CIRCULATORY SYSTEM DIAGNOSES  (314, 315, 316)","$5,086","$14,232",,,Advocate Health Care,Advocate Health
MercyOne Genesis Davenport Medical Center (FKA Genesis Medical Center - East Rusholme Street),"INGUINAL & FEMORAL HERNIA PROCEDURES  (350, 351, 352)",$0,"$14,178",,,MercyOne Genesis (FKA Genesis Health System),Trinity Health (FKA CHE Trinity Health)
Community Fairbanks Recovery Center (FKA Fairbanks),"ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY  (896, 897)","$6,160","$14,123",,,Community Health Network,Community Health Network
Froedtert Hospital,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS  (622, 623, 624)","$15,505","$14,098",,,Froedtert & the Medical College of Wisconsin,Froedtert ThedaCare Health Inc
Roane Medical Center,"RENAL FAILURE  (682, 683, 684)","$9,134","$14,065",,,Covenant Health (TN),
Community Hospital,"OTHER DISORDERS OF NERVOUS SYSTEM  (091, 092, 093)","$5,762","$14,063",,,Powers Health (FKA Community Healthcare System),
Methodist Hospitals - Northlake,"SEIZURES  (100, 101)","$5,753","$14,016",,,Methodist Hospitals,
John H Stroger Jr Hospital of Cook County,"RESPIRATORY NEOPLASMS  (180, 181, 182)","$61,691","$13,998",,,Cook County Health & Hospitals System,
Essentia Health - Virginia,"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$12,803","$13,992",,,Essentia Health,
Humboldt Park Health (FKA Norwegian American Hospital),ANGINA PECTORIS  (311),"$5,523","$13,976",,,,
HSHS St Marys Hospital,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$13,973","$13,973",,,Hospital Sisters Health System (AKA HSHS),
OSF Saint Anthony Medical Center,"G.I. OBSTRUCTION  (388, 389, 390)","$4,802","$13,871",,,OSF HealthCare,
Community First Medical Center (FKA Our Lady of the Resurrection Medical Center),"DISORDERS OF THE BILIARY TRACT  (444, 445, 446)","$7,353","$13,867",,,,
